"","X","Country","Year","Month","Day","dengue_cases","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"1",1,"Argentina",2003,4,6,36,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"2",2,"Argentina",2003,10,12,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"3",3,"Argentina",2003,5,4,31,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"4",4,"Argentina",2003,4,13,31,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"5",5,"Argentina",2003,9,21,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"6",6,"Argentina",2003,7,13,36,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"7",7,"Argentina",2003,12,7,24,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"8",8,"Argentina",2003,4,27,34,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"9",9,"Argentina",2003,4,20,29,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"10",10,"Argentina",2003,2,23,48,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"11",11,"Argentina",2003,8,17,22,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"12",12,"Argentina",2003,11,16,27,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"13",13,"Argentina",2003,6,22,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"14",14,"Argentina",2003,8,3,24,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"15",15,"Argentina",2003,7,20,29,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"16",16,"Argentina",2003,9,7,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"17",17,"Argentina",2003,6,29,31,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"18",18,"Argentina",2003,7,27,27,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"19",19,"Argentina",2003,7,6,34,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"20",20,"Argentina",2003,11,2,29,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"21",21,"Argentina",2003,11,9,27,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"22",22,"Argentina",2003,10,19,22,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"23",23,"Argentina",2003,8,31,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"24",24,"Argentina",2003,12,28,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"25",25,"Argentina",2003,6,15,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"26",26,"Argentina",2003,11,23,27,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"27",27,"Argentina",2003,2,16,46,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"28",28,"Argentina",2003,3,2,51,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"29",29,"Argentina",2003,12,21,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"30",30,"Argentina",2003,10,5,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"31",31,"Argentina",2003,6,8,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"32",32,"Argentina",2003,3,9,51,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"33",33,"Argentina",2003,6,1,34,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"34",34,"Argentina",2003,3,16,46,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"35",35,"Argentina",2003,10,26,24,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"36",36,"Argentina",2003,5,25,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"37",37,"Argentina",2003,3,23,43,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"38",38,"Argentina",2003,11,30,27,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"39",39,"Argentina",2003,5,18,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"40",40,"Argentina",2003,8,24,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"41",41,"Argentina",2003,9,14,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"42",42,"Argentina",2003,3,30,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"43",43,"Argentina",2003,8,10,22,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"44",44,"Argentina",2003,5,11,39,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"45",45,"Argentina",2003,12,14,22,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"46",46,"Argentina",2003,9,28,19,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"47",47,"Argentina",2004,5,9,41,16,75,2.31,38728778,287258675094,"Americas","South America"
"48",48,"Argentina",2004,7,18,19,16,75,2.31,38728778,287258675094,"Americas","South America"
"49",49,"Argentina",2004,6,27,24,16,75,2.31,38728778,287258675094,"Americas","South America"
"50",50,"Argentina",2004,8,15,24,16,75,2.31,38728778,287258675094,"Americas","South America"
