"","Year","Month","Day","Country","dengue_cases"
"1",2002,12,29,"Bolivia",101
"2",2002,12,29,"Brazil",73
"3",2002,12,29,"India",62
"4",2002,12,29,"Indonesia",101
"5",2002,12,29,"Singapore",59
"6",2003,1,5,"Bolivia",143
"7",2003,1,5,"Brazil",98
"8",2003,1,5,"India",47
"9",2003,1,5,"Indonesia",39
"10",2003,1,5,"Singapore",59
"11",2003,1,12,"Bolivia",176
"12",2003,1,12,"Brazil",119
"13",2003,1,12,"India",51
"14",2003,1,12,"Indonesia",59
"15",2003,1,12,"Mexico",71
"16",2003,1,12,"Singapore",238
"17",2003,1,19,"Bolivia",173
"18",2003,1,19,"Brazil",17
"19",2003,1,19,"India",32
"20",2003,1,19,"Indonesia",39
"21",2003,1,19,"Mexico",52
"22",2003,1,19,"Singapore",175
"23",2003,1,26,"Bolivia",146
"24",2003,1,26,"Brazil",138
"25",2003,1,26,"India",4
"26",2003,1,26,"Indonesia",112
"27",2003,1,26,"Mexico",48
"28",2003,1,26,"Singapore",164
"29",2003,2,2,"Bolivia",16
"30",2003,2,2,"Brazil",202
"31",2003,2,2,"India",38
"32",2003,2,2,"Indonesia",49
"33",2003,2,2,"Mexico",41
"34",2003,2,2,"Singapore",163
"35",2003,2,9,"Bolivia",225
"36",2003,2,9,"Brazil",179
"37",2003,2,9,"India",19
"38",2003,2,9,"Indonesia",6
"39",2003,2,9,"Mexico",42
"40",2003,2,9,"Singapore",15
"41",2003,2,16,"Argentina",46
"42",2003,2,16,"Bolivia",109
"43",2003,2,16,"Brazil",239
"44",2003,2,16,"India",8
"45",2003,2,16,"Indonesia",39
"46",2003,2,16,"Mexico",49
"47",2003,2,16,"Singapore",144
"48",2003,2,16,"Venezuela",139
"49",2003,2,23,"Argentina",48
"50",2003,2,23,"Bolivia",147
"51",2003,2,23,"Brazil",205
"52",2003,2,23,"India",22
"53",2003,2,23,"Indonesia",78
"54",2003,2,23,"Mexico",54
"55",2003,2,23,"Singapore",142
"56",2003,2,23,"Venezuela",137
"57",2003,3,2,"Argentina",51
"58",2003,3,2,"Bolivia",119
"59",2003,3,2,"Brazil",142
"60",2003,3,2,"India",28
"61",2003,3,2,"Indonesia",48
"62",2003,3,2,"Mexico",75
"63",2003,3,2,"Singapore",129
"64",2003,3,2,"Venezuela",168
"65",2003,3,9,"Argentina",51
"66",2003,3,9,"Bolivia",195
"67",2003,3,9,"Brazil",28
"68",2003,3,9,"India",3
"69",2003,3,9,"Indonesia",89
"70",2003,3,9,"Mexico",96
"71",2003,3,9,"Singapore",13
"72",2003,3,9,"Venezuela",169
"73",2003,3,16,"Argentina",46
"74",2003,3,16,"Bolivia",289
"75",2003,3,16,"Brazil",162
"76",2003,3,16,"India",6
"77",2003,3,16,"Indonesia",8
"78",2003,3,16,"Mexico",64
"79",2003,3,16,"Singapore",12
"80",2003,3,16,"Venezuela",157
"81",2003,3,23,"Argentina",43
"82",2003,3,23,"Bolivia",227
"83",2003,3,23,"Brazil",17
"84",2003,3,23,"India",15
"85",2003,3,23,"Indonesia",54
"86",2003,3,23,"Mexico",73
"87",2003,3,23,"Singapore",115
"88",2003,3,23,"Venezuela",154
"89",2003,3,30,"Argentina",39
"90",2003,3,30,"Bolivia",194
"91",2003,3,30,"Brazil",176
"92",2003,3,30,"India",33
"93",2003,3,30,"Indonesia",71
"94",2003,3,30,"Mexico",76
"95",2003,3,30,"Philippines",59
"96",2003,3,30,"Singapore",104
"97",2003,3,30,"Venezuela",138
"98",2003,4,6,"Argentina",36
"99",2003,4,6,"Bolivia",121
"100",2003,4,6,"Brazil",134
"101",2003,4,6,"India",8
"102",2003,4,6,"Indonesia",54
"103",2003,4,6,"Mexico",68
"104",2003,4,6,"Philippines",59
"105",2003,4,6,"Singapore",107
"106",2003,4,6,"Venezuela",136
"107",2003,4,13,"Argentina",31
"108",2003,4,13,"Bolivia",101
"109",2003,4,13,"Brazil",15
"110",2003,4,13,"India",12
"111",2003,4,13,"Indonesia",88
"112",2003,4,13,"Mexico",55
"113",2003,4,13,"Philippines",58
"114",2003,4,13,"Singapore",101
"115",2003,4,13,"Venezuela",129
"116",2003,4,20,"Argentina",29
"117",2003,4,20,"Bolivia",147
"118",2003,4,20,"Brazil",104
"119",2003,4,20,"India",3
"120",2003,4,20,"Indonesia",54
"121",2003,4,20,"Mexico",56
"122",2003,4,20,"Philippines",58
"123",2003,4,20,"Singapore",102
"124",2003,4,20,"Venezuela",168
"125",2003,4,27,"Argentina",34
"126",2003,4,27,"Bolivia",97
"127",2003,4,27,"Brazil",104
"128",2003,4,27,"India",4
"129",2003,4,27,"Indonesia",81
"130",2003,4,27,"Mexico",72
"131",2003,4,27,"Philippines",61
"132",2003,4,27,"Singapore",128
"133",2003,4,27,"Venezuela",263
"134",2003,5,4,"Argentina",31
"135",2003,5,4,"Bolivia",69
"136",2003,5,4,"Brazil",89
"137",2003,5,4,"India",7
"138",2003,5,4,"Indonesia",68
"139",2003,5,4,"Mexico",71
"140",2003,5,4,"Philippines",59
"141",2003,5,4,"Singapore",132
"142",2003,5,4,"Venezuela",222
"143",2003,5,11,"Argentina",39
"144",2003,5,11,"Bolivia",64
"145",2003,5,11,"Brazil",67
"146",2003,5,11,"India",0
"147",2003,5,11,"Indonesia",48
"148",2003,5,11,"Mexico",6
"149",2003,5,11,"Philippines",59
"150",2003,5,11,"Singapore",14
"151",2003,5,11,"Venezuela",2
"152",2003,5,18,"Argentina",39
"153",2003,5,18,"Bolivia",53
