"","X","Country","Year","Month","Day","flu_cases","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"1",1,"Argentina",2003,3,23,153,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"2",2,"Argentina",2003,5,25,251,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"3",3,"Argentina",2003,12,28,100,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"4",4,"Argentina",2003,9,14,204,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"5",5,"Argentina",2003,10,5,205,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"6",6,"Argentina",2003,12,7,121,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"7",7,"Argentina",2003,10,19,178,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"8",8,"Argentina",2003,3,30,158,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"9",9,"Argentina",2003,9,7,210,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"10",10,"Argentina",2003,5,18,232,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"11",11,"Argentina",2003,2,2,136,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"12",12,"Argentina",2003,8,31,224,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"13",13,"Argentina",2003,8,24,192,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"14",14,"Argentina",2003,3,9,136,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"15",15,"Argentina",2003,4,6,187,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"16",16,"Argentina",2003,2,16,141,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"17",17,"Argentina",2003,10,26,178,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"18",18,"Argentina",2003,8,17,201,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"19",19,"Argentina",2003,6,8,261,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"20",20,"Argentina",2003,2,9,145,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"21",21,"Argentina",2003,6,22,278,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"22",22,"Argentina",2003,4,13,193,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"23",23,"Argentina",2003,11,16,149,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"24",24,"Argentina",2003,6,1,253,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"25",25,"Argentina",2003,5,11,241,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"26",26,"Argentina",2003,2,23,135,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"27",27,"Argentina",2003,8,10,225,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"28",28,"Argentina",2003,11,23,133,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
