mayorid,regionid.ch,city_id,city_id_year,year.x,cancel.year,prior.treat.cities.region,treatment.group,ur.totals,vote.totals,ur.voteshare,turnout,intercept.ns,nonstandard.coef,intercept.turnout,PositionCity,city_id.y,year.y,regionid,naive_counter,dumamargin,cancel,margin,margin.most.recent,naive_counter2,naive_counter3,dem,growth_1,pressfreedom,regelect_margin,regmarginXmargin,regmarginXmarginextended,URshare,UR_majority,gov_good,twoyrdum1,twoyrdum2,twoyrdum3,twoyrdum4,twoyrdum5,twoyrdum6,twoyrdum7,poppopprop,criminalpast,civsoc91,kprf99,education,pctRussian2002_new,lnAvgSalary,marginXdem,govgoodXmargin,opp_mayor1,introduce,mayorbefore,cancel_withouttwo,resource_grp,unempchg_1,unemployrate,diff_unemp,AvgSalary_demeaned_chg,marginXoppmayor,marginXmayorbefore,marginXduma,treat.group.07,treat.group.08,treat.group.11,treat.group.12,posttreat.07,posttreat.08,posttreat.11,posttreat.12,presidential,urgov,comp.scale2,comp.scale03_18,xconst.lag,pensioners.per.1000,ethnic.categorical,putin.app.3mo,govemploy.by.pop,mayor.cancel.year,elections.kept,elections.canceled,treat.appoint.newmayor,treat.appoint.oldmayor,mayor.start.year,mayor.tenure
31,2,13,13_2003,2003,2010,0,1,85285,283860,0.300447404,0.278727422,0.1708,0.1239,0.013,Barnaul,13,2003,68,12,NA,0,0.695300043,0.695300043,144,1728,24,103.8000031,somewhat free,NA,NA,NA,NA,NA,0.56,0,0,1,0,0,0,0,0.255379856,0,2,36.79999924,18.70000076,0.919725835,8.573195457,16.68720055,0.389368027,1,NA,1,0,0.671428561,-1.699999809,2.148156404,0.358568072,426.6582031,0.695300043,0.695300043,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,5,265.9,Non-ethnic,0.76,10.75571041,0,0,1,0,0,2003,0
32,2,13,13_2004,2004,2010,0,1,211895,311729,0.679741057,0.703033598,0.4008,0.7405,-0.0133,Barnaul,13,2004,68,1,0.141720355,0,NA,NA,1,1,24,107.6999969,somewhat free,-0.005591586,NA,NA,0.100000001,0,0.16,0,0,1,0,0,0,0,0.255583405,0,2,36.79999924,19.79999924,0.919725835,8.730528831,NA,NA,NA,NA,0,0,0.671428561,3.800000191,1.928808928,-0.219347477,-231.9462891,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,NA,NA,5,265.9,Non-ethnic,0.82,10.75571041,0,0,1,0,0,2004,0
32,2,13,13_2007,2007,2010,0,1,155581,314800,0.494221728,0.505813163,0.2762,0.609,-0.0044,Barnaul,13,2007,68,4,0.330710649,0,0.583900034,0.583900034,16,64,32,110.1999969,somewhat free,-0.005591586,-0.003264927,-0.001906391,0.100000001,0,0.43,0,0,0,0,1,0,0,0.257444561,0,2,36.79999924,22.29999924,0.919725835,9.448411942,18.6848011,0.251077026,1,NA,1,0,0.5,-0.199999809,1.40570879,-0.426556826,-321.5732422,0.583900034,0.583900034,0.193101957,0,0,1,0,1,0,0,0,0,1,1.733570615,0.272041994,4,271.9,Non-ethnic,0.82,13.0994295,0,0,1,0,0,2004,3
32,2,13,13_2008,2008,2010,0,1,182991,306377,0.597273947,0.705750871,0.3418,0.4396,-0.0621,Barnaul,13,2008,68,5,0.330710649,0,0.583900034,0.583900034,25,125,32,109.5,somewhat free,0.331113398,0.193337128,0.112889556,0.771428585,1,0.375,0,0,0,0,1,0,0,0.259986818,0,2,36.79999924,23.39999962,0.919725835,9.66814518,18.6848011,0.21896252,1,NA,1,0,0.7,-2.300000191,1.461345077,0.055636287,-643.3857422,0.583900034,0.583900034,0.193101957,0,0,1,0,1,1,0,0,1,1,1.733570615,0.272041994,4,271.9,Non-ethnic,0.86,13.0994295,0,0,1,0,0,2004,4
33,2,13,13_2011,2011,2010,0,1,81165,270377,0.300191954,0.397311083,0.1413,0.5293,-0.0483,Barnaul,13,2011,68,1,0.040324438,NA,NA,0.5839,1,1,32,NA,somewhat free,0.04695648,NA,NA,0.771428585,1,0.31,0,0,0,0,0,0,1,0.273268908,0,2,36.79999924,22.29999924,0.919725835,9.829571724,NA,NA,NA,0,0,NA,1.2,-3.5,0.818585694,-0.407380283,-606.03125,NA,NA,NA,0,0,1,0,1,1,1,0,0,1,-0.190602058,0.040959531,4,296.8,Non-ethnic,0.67,12.61362692,0,0,1,1,0,2011,0
33,2,13,13_2012,2012,2010,0,1,168184,319267,0.526781659,0.620698395,0.3041,0.5426,-0.0547,Barnaul,13,2012,68,2,0.040324438,NA,NA,0.5839,4,8,32,NA,somewhat free,0.04695648,NA,NA,0.771428585,1,NA,0,0,0,0,0,0,1,0.273268908,0,2,36.79999924,22.29999924,0.919725835,9.99104023,NA,NA,NA,0,0,NA,NA,NA,0.60439676,-0.214188933,-459.7851563,NA,NA,NA,0,0,1,0,1,1,1,1,1,1,0.837743668,0.164458148,4,296.8,Non-ethnic,0.64,12.61362692,0,0,1,1,0,2011,1
45,2,17,17_2003,2003,2011,0,1,29620,114413,0.258886665,0.336181466,0.141,0.4098,-0.0331,Bijsk,17,2003,68,11,0.051158976,0,0.020900002,0.020900002,121,1331,24,103.8000031,somewhat free,NA,NA,NA,NA,NA,0.56,0,0,1,0,0,0,0,0.088468954,0,2,36.79999924,18.70000076,0.919725835,8.793459892,0.501600027,0.011704001,NA,NA,1,0,0.671428561,-1.699999809,3.888180733,0.337977886,135.6582031,NA,0.020900002,0.001069223,0,0,0,1,0,0,0,0,0,0,NA,NA,5,265.9,Non-ethnic,0.76,10.75571041,47,0,1,0,0,2003,0
45,2,17,17_2004,2004,2011,0,1,80472,127631,0.630505128,0.740054689,0.3704,0.4772,-0.059,Bijsk,17,2004,68,12,0.051158976,0,0.020900002,0.020900002,144,1728,24,107.6999969,somewhat free,NA,NA,NA,0.159999996,0,0.16,0,0,1,0,0,0,0,0.089026928,0,2,36.79999924,19.79999924,0.919725835,8.936955452,0.501600027,0.003344,NA,NA,1,0,0.671428561,3.800000191,3.808178663,-0.080002069,-115.9462891,NA,0.020900002,0.001069223,0,0,0,1,0,0,0,0,1,0,NA,NA,5,265.9,Non-ethnic,0.82,10.75571041,47,0,1,0,0,2003,1
47,2,17,17_2007,2007,2011,0,1,57398,110700,0.518500452,0.678464419,0.2653,0.701,-0.0748,Bijsk,17,2007,68,1,0.287274301,0,0.215000004,0.215000004,1,1,32,110.1999969,somewhat free,NA,NA,NA,0.159999996,0,0.43,0,0,0,0,1,0,0,0.088596776,1,2,36.79999924,22.29999924,0.919725835,9.653743744,6.880000114,0.09245,1,NA,0,0,0.5,-0.199999809,2.309307337,-0.8640275,226.4267578,0.215000004,0,0.061763976,0,0,0,1,1,0,0,0,0,1,1.733570615,0.272041994,4,271.9,Non-ethnic,0.82,13.0994295,47,0,1,0,0,2007,0
47,2,17,17_2008,2008,2011,0,1,70865,112568,0.629530595,0.609767609,0.3246,0.5439,0.0088,Bijsk,17,2008,68,2,0.287274301,0,0.215000004,0.215000004,4,8,32,109.5,somewhat free,0.298350155,0.064145282,0.013791236,0.400000006,0,0.375,0,0,0,0,1,0,0,0.088503398,1,2,36.79999924,23.39999962,0.919725835,9.860527992,6.880000114,0.080624998,1,NA,0,0,0.7,-2.300000191,2.212961912,-0.096345425,-182.3857422,0.215000004,0,0.061763976,0,0,0,1,1,1,0,0,1,1,1.733570615,0.272041994,4,271.9,Non-ethnic,0.86,13.0994295,47,0,1,0,0,2007,1
47,2,17,17_2011,2011,2011,1,1,39993,103452,0.386585083,0.356369816,0.1802,0.5137,0.0209,Bijsk,17,2011,68,5,NA,1,0.001100006,0.001100006,25,125,32,NA,somewhat free,0.298350155,0.000328187,3.61E-07,0.400000006,0,0.31,0,0,0,0,0,0,1,0.086915463,1,2,36.79999924,22.29999924,0.919725835,9.616405487,0.035200194,0.000341002,1,NA,0,1,1.2,-3.5,1.24649334,-0.538084626,-915.03125,0.001100006,0,NA,0,0,0,1,1,1,1,0,0,1,-0.190602058,0.040959531,4,296.8,Non-ethnic,0.67,12.61362692,47,0,1,0,0,2007,4
48,2,17,17_2012,2012,2011,1,1,62957,113384,0.55525471,0.561969364,0.2943,0.6196,0.0049,Bijsk,17,2012,68,1,0.138623178,NA,NA,0.0011,1,1,32,NA,somewhat free,0.130262256,NA,NA,0.600000024,1,NA,0,0,0,0,0,0,1,0.086915463,0,2,36.79999924,22.29999924,0.919725835,9.76186657,NA,NA,NA,0,0,NA,NA,NA,1.071012616,-0.175480723,-1364.785156,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,0.837743668,0.164458148,4,296.8,Non-ethnic,0.64,12.61362692,47,0,1,1,0,2012,0
366,2,122,122_2003,2003,2011,0,1,20505,75307,0.272285445,0.368998713,0.1572,0.0842,-0.0428,Rubcovsk,122,2003,68,3,0.063966356,0,0.173799977,0.173799977,9,27,24,103.8000031,somewhat free,NA,NA,NA,NA,NA,0.56,0,0,1,0,0,0,0,0.062321637,0,2,36.79999924,18.70000076,0.919725835,10.10016346,4.171199322,0.097327985,NA,NA,0,0,0.671428561,-1.699999809,1.56188798,0.449938416,3925.658203,NA,0,0.011117351,0,0,0,1,0,0,0,0,0,0,NA,NA,5,265.9,Non-ethnic,0.76,10.75571041,364,0,1,0,0,2003,0
