year,city_id,n
2003,5,107
2003,10,59
2003,13,237
2003,15,213
2003,17,134
2003,19,118
2003,20,154
2003,25,121
2003,31,72
2003,36,48
2003,37,532
2003,43,210
2003,44,261
2003,46,123
2003,48,209
2003,49,141
2003,54,280
2003,60,72
2003,61,142
2003,65,140
2003,66,252
2003,67,43
2003,77,84
2003,87,55
2003,88,95
2003,90,570
2003,94,83
2003,97,45
2003,101,65
2003,102,32
2003,103,38
2003,108,266
2003,111,240
2003,113,487
2003,115,276
2003,118,134
2003,120,78
2003,122,79
2003,124,235
2003,126,11
2003,129,78
2003,132,40
2003,137,148
2003,138,213
2003,141,124
2003,144,183
2003,145,176
2003,148,235
2003,149,280
2003,155,45
2003,156,86
2003,159,441
2003,161,52
2003,166,57
2003,171,65
2003,173,14
2003,176,41
2003,177,72
2003,178,72
2003,181,33
2003,184,54
2003,195,26
2003,197,67
2003,204,36
2003,208,78
2003,210,92
2003,212,73
2003,213,82
2004,5,105
2004,10,60
2004,13,239
2004,15,213
2004,17,134
2004,19,119
2004,20,154
2004,25,122
2004,31,73
2004,36,48
2004,37,532
2004,43,210
2004,44,263
2004,46,124
2004,48,224
2004,49,136
2004,54,280
2004,60,72
2004,61,141
2004,65,140
2004,66,252
2004,67,43
2004,77,84
2004,87,55
2004,88,96
2004,90,570
2004,94,80
2004,97,45
2004,101,74
2004,102,32
2004,103,38
2004,108,266
2004,111,240
2004,113,488
2004,115,222
2004,118,135
2004,120,77
2004,122,80
2004,124,236
2004,126,11
2004,129,82
2004,132,40
2004,137,148
2004,138,213
2004,141,124
2004,144,183
2004,145,176
2004,148,231
2004,149,283
2004,155,45
2004,156,86
2004,159,441
2004,161,52
2004,166,57
2004,171,65
2004,173,25
2004,176,44
2004,177,72
2004,178,72
2004,181,33
2004,184,54
2004,195,26
2004,197,67
2004,204,36
2004,208,78
2004,210,92
2004,212,73
2004,213,82
2007,5,103
2007,10,68
2007,13,245
2007,15,239
2007,17,131
2007,19,128
2007,20,162
2007,25,132
2007,31,78
2007,36,56
2007,37,533
2007,43,214
2007,44,266
2007,46,94
2007,48,187
2007,49,140
2007,54,285
2007,60,72
2007,61,144
2007,65,144
2007,66,261
2007,67,45
2007,77,84
2007,87,61
2007,88,98
2007,90,566
2007,94,77
2007,97,51
2007,101,83
2007,102,34
2007,103,39
2007,108,259
2007,111,261
2007,113,493
2007,115,215
2007,118,133
2007,120,75
2007,122,85
2007,124,238
2007,126,10
2007,129,82
2007,132,44
2007,137,154
2007,138,239
2007,141,126
2007,144,185
2007,145,178
2007,148,203
2007,149,312
2007,155,34
2007,156,74
2007,159,444
2007,161,51
2007,166,60
2007,171,68
2007,173,40
2007,176,44
2007,177,77
2007,178,77
2007,181,32
2007,184,58
2007,195,30
2007,197,67
2007,204,36
2007,208,79
2007,210,96
2007,212,73
2007,213,71
2008,5,106
2008,10,69
2008,13,249
2008,15,239
2008,17,131
2008,19,130
2008,20,162
2008,25,133
2008,31,77
2008,36,56
2008,37,558
2008,43,214
2008,44,267
2008,46,114
2008,48,193
2008,49,140
2008,54,290
2008,60,72
2008,61,147
2008,65,145
2008,66,261
2008,67,45
2008,77,83
2008,87,61
2008,88,104
2008,90,580
2008,94,77
2008,97,51
2008,101,83
2008,102,37
2008,103,39
2008,108,261
2008,111,264
2008,113,493
2008,115,234
2008,118,133
2008,120,78
2008,122,85
2008,124,243
2008,126,12
2008,129,82
2008,132,44
2008,137,150
2008,138,239
2008,141,126
2008,144,186
2008,145,179
2008,148,232
2008,149,313
2008,155,48
2008,156,94
2008,159,442
2008,161,52
2008,166,62
2008,171,66
2008,173,40
2008,176,44
2008,177,79
2008,178,79
2008,181,32
2008,184,61
2008,195,30
2008,197,66
2008,204,36
2008,208,79
2008,210,92
2008,212,75
2008,213,75
2011,5,100
2011,10,70
2011,13,251
2011,15,271
2011,17,131
2011,19,133
2011,20,149
2011,25,144
2011,31,77
2011,36,53
2011,37,571
2011,43,219
2011,44,278
2011,46,121
2011,48,193
2011,49,148
2011,54,328
2011,60,144
2011,61,151
2011,65,152
2011,66,261
2011,67,46
2011,77,82
2011,87,76
2011,88,111
2011,90,540
2011,94,78
2011,97,52
2011,101,83
2011,102,37
2011,103,38
2011,108,262
2011,111,264
2011,113,494
2011,115,194
2011,118,130
2011,120,78
2011,122,85
2011,124,247
2011,126,13
2011,129,82
2011,132,44
2011,137,146
2011,138,271
2011,141,119
2011,144,175
2011,145,180
2011,148,236
2011,149,333
2011,155,53
2011,156,104
2011,159,446
2011,161,52
2011,166,50
2011,171,65
2011,173,40
2011,176,44
2011,177,78
2011,178,78
2011,181,34
2011,184,101
2011,195,33
2011,197,65
2011,204,37
2011,208,78
2011,210,89
2011,212,75
2011,213,76
2012,5,100
2012,10,70
2012,13,254
2012,15,271
2012,17,131
2012,19,133
2012,20,159
2012,25,133
2012,31,77
2012,36,53
2012,37,568
2012,43,220
2012,44,280
2012,46,122
2012,48,200
2012,49,147
2012,54,285
2012,60,74
2012,61,155
2012,65,152
2012,66,261
2012,67,46
2012,77,82
2012,87,76
2012,88,111
2012,90,559
2012,94,77
2012,97,52
2012,101,73
2012,102,37
2012,103,38
2012,108,263
2012,111,264
2012,113,498
2012,115,211
2012,118,132
2012,120,78
2012,122,85
2012,124,253
2012,126,15
2012,129,82
2012,132,44
2012,137,139
2012,138,271
2012,141,118
2012,144,176
2012,145,180
2012,148,235
2012,149,331
2012,155,53
2012,156,104
2012,159,449
2012,161,52
2012,166,50
2012,171,68
2012,173,40
2012,176,44
2012,177,78
2012,178,78
2012,181,34
2012,184,60
2012,195,33
2012,197,64
2012,204,37
2012,208,75
2012,210,87
2012,212,75
2012,213,75
2003,1,96
2003,3,18
2003,4,106
2003,6,66
2003,7,50
2003,8,220
2003,9,266
2003,12,73
2003,14,41
2003,16,107
2003,18,59
2003,23,123
2003,24,434
2003,26,377
2003,27,81
2003,28,102
2003,29,183
2003,30,389
2003,32,23
2003,34,78
2003,35,130
2003,38,89
2003,39,43
2003,41,33
2003,42,80
2003,45,278
2003,50,103
2003,51,80
2003,53,210
2003,55,53
2003,56,102
2003,57,132
2003,58,134
2003,59,61
2003,62,374
2003,63,243
2003,64,374
2003,68,144
2003,69,217
2003,70,104
2003,71,40
2003,73,173
2003,74,110
2003,76,47
2003,79,81
2003,83,10
2003,84,146
2003,85,46
2003,90,147
2003,91,147
2003,92,257
2003,93,50
2003,95,127
2003,96,623
2003,98,67
2003,99,55
2003,100,39
2003,106,493
2003,109,157
2003,110,106
2003,112,73
2003,114,130
2003,116,119
2003,117,140
2003,119,55
2003,121,360
2003,123,114
2003,127,442
2003,131,80
2003,134,154
2003,136,208
2003,140,133
2003,146,234
2003,147,269
2003,150,148
2003,151,295
2003,154,274
2003,157,64
2003,160,162
2003,163,138
2003,164,49
2003,165,56
2003,168,79
2003,169,91
2003,170,244
2003,174,45
2003,175,105
2003,179,116
2003,180,80
2003,183,77
2003,185,35
2003,189,11
2003,190,75
2003,192,107
2003,194,60
2003,196,41
2003,198,94
2003,199,73
2003,200,89
2003,203,94
2003,206,35
2003,209,121
2003,214,98
2003,215,210
2003,218,40
2003,219,57
2004,1,100
2004,3,18
2004,4,106
2004,6,67
2004,7,51
2004,8,223
2004,9,270
2004,12,73
2004,14,41
2004,16,107
2004,18,60
2004,23,123
2004,24,488
2004,26,379
2004,27,81
2004,28,102
2004,29,183
2004,30,386
2004,32,23
2004,34,78
2004,35,131
2004,38,88
2004,39,43
2004,41,33
2004,42,80
2004,45,277
2004,50,104
2004,51,80
2004,53,210
2004,55,52
2004,56,102
2004,57,106
2004,58,134
2004,59,61
2004,62,366
2004,63,265
2004,64,366
2004,68,148
2004,69,240
2004,70,104
2004,71,66
2004,73,174
2004,74,110
2004,76,46
2004,79,81
2004,83,15
2004,84,161
2004,85,46
2004,90,148
2004,91,148
2004,92,258
2004,93,50
2004,95,126
2004,96,623
2004,98,67
2004,99,55
2004,100,40
2004,106,524
2004,109,140
2004,110,112
